Date,Open,High,Low,Close
02/15/2023,"22,251","24,189","22,066","24,173"
02/14/2023,"21,624","22,304","21,611","22,251"
02/13/2023,"21,739","21,894","21,437","21,621"
02/12/2023,"21,829","22,086","21,714","21,739"
02/11/2023,"21,543","21,839","21,527","21,829"
02/10/2023,"21,841","21,940","21,507","21,543"
02/09/2023,"22,960","22,999","21,757","21,841"
02/08/2023,"23,191","23,405","22,711","22,960"
02/07/2023,"22,918","23,297","22,650","23,201"
02/06/2023,"22,896","23,150","22,643","22,918"
02/05/2023,"23,417","23,452","22,782","22,896"
02/04/2023,"23,380","23,575","23,278","23,417"
02/03/2023,"23,598","23,706","23,244","23,387"
02/02/2023,"23,678","24,205","23,581","23,598"
02/01/2023,"22,950","23,789","22,820","23,678"
01/31/2023,"22,743","23,182","22,549","22,950"
01/30/2023,"23,792","23,870","22,644","22,732"
01/29/2023,"23,005","23,940","22,975","23,792"
01/28/2023,"23,097","23,184","22,900","23,005"
01/27/2023,"23,072","23,478","22,587","23,097"
01/26/2023,"23,576","23,762","22,856","23,068"
01/25/2023,"22,903","23,641","22,358","23,576"
01/24/2023,"22,989","23,158","22,783","22,900"
01/23/2023,"22,599","23,137","22,550","22,989"
01/22/2023,"23,199","23,215","22,357","22,579"
01/21/2023,"22,336","23,318","22,328","23,199"
01/20/2023,"20,941","22,387","20,887","22,336"
01/19/2023,"20,772","21,162","20,659","20,941"
01/18/2023,"21,330","21,532","20,502","20,775"
01/17/2023,"21,130","21,427","20,906","21,330"
01/16/2023,"20,898","21,413","20,700","21,129"
01/15/2023,"20,900","21,066","20,577","20,898"
01/14/2023,"19,818","21,204","19,751","20,888"
01/13/2023,"18,836","19,866","18,727","19,818"
01/12/2023,"17,556","19,051","17,517","18,822"
01/11/2023,"17,475","17,570","17,323","17,556"
01/10/2023,"17,190","17,489","17,134","17,475"
01/09/2023,"16,955","17,399","16,952","17,190"
01/08/2023,"16,943","17,007","16,913","16,953"
01/07/2023,"16,929","16,981","16,909","16,943"
01/06/2023,"16,846","17,002","16,698","16,929"
01/05/2023,"16,821","16,846","16,771","16,846"
01/04/2023,"16,667","16,980","16,641","16,820"
01/03/2023,"16,725","16,799","16,609","16,667"
01/02/2023,"16,591","16,758","16,544","16,725"
01/01/2023,"16,549","16,617","16,491","16,591"
12/31/2022,"16,576","16,634","16,541","16,549"
12/30/2022,"16,599","16,644","16,340","16,576"
12/29/2022,"16,517","16,656","16,478","16,599"
12/28/2022,"16,698","16,759","16,478","16,517"
12/27/2022,"16,821","16,957","16,603","16,698"
12/26/2022,"16,823","16,910","16,794","16,821"
12/25/2022,"16,836","16,863","16,744","16,823"
12/24/2022,"16,815","16,865","16,765","16,836"
12/23/2022,"16,791","16,900","16,769","16,815"
12/22/2022,"16,790","16,862","16,569","16,791"
12/21/2022,"16,883","16,923","16,729","16,790"
12/20/2022,"16,583","17,023","16,300","16,883"
12/19/2022,"16,750","16,820","16,499","16,583"
12/18/2022,"16,709","16,796","16,671","16,750"
12/17/2022,"16,835","16,869","16,534","16,709"
12/16/2022,"17,384","17,524","16,754","16,835"
